범죄분류,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상
절도,10559,12690,13789,23151,27786,29686,24857,17155,24482
살인,48,59,59,80,64,84,92,111,209
강도,55,50,22,32,35,43,41,81,115
방화,81,99,71,86,85,110,139,197,143
성폭력,2452,2537,1759,2386,2666,3447,3933,4745,12255
폭행,11190,9340,6912,9925,10487,12316,16123,22774,19712
상해,2006,1783,1181,1584,1708,1982,2470,3681,4835
협박,1338,1059,1391,2222,2375,2813,3376,3476,6508
공갈,199,168,81,335,565,784,688,608,3371
약취와유인,8,5,15,27,51,56,40,21,88
체포와감금,83,70,59,81,106,111,131,142,372
폭력행위등(손괴·강요·주거침입등),90,89,61,120,110,128,146,145,332
폭력행위등(단체등의구성·활동),9,8,6,4,5,4,3,11,98
도박과복표,208,134,99,474,449,767,796,627,5389
과실치사상,57,58,166,330,407,429,368,222,1041
업무상과실치사상,47,85,343,759,617,522,225,140,1596
가정폭력범죄의처벌등에관한특례법,84,89,101,178,193,182,234,278,260
경범죄처벌법,1033,892,567,610,738,874,1502,2058,2101
교통사고처리특례법,1883,2724,8051,9834,10668,12415,13420,7581,1579
도로교통법,457,574,1078,1589,1808,1969,1424,1149,959
도로교통법(무면허운전),868,896,1816,4889,4798,5755,3209,2606,801
도로교통법(사고후미조치),603,667,822,667,743,911,1033,1124,464
도로교통법(음주운전),12498,10712,6722,4121,3964,4138,11749,34592,8865
도로교통법(음주측정거부),540,399,154,94,126,206,350,854,385
마약류관리에관한법률(대마),73,52,70,141,164,177,214,329,521
마약류관리에관한법률(마약),17,24,60,363,402,378,104,30,593
마약류관리에관한법률(향정),429,400,294,661,803,802,931,994,4170
성매매알선등행위의처벌에관한법률,129,110,38,94,355,549,491,543,879
아동·청소년의성보호에관한법률(성매수등),33,20,9,37,39,81,103,68,278
아동·청소년의성보호에관한법률(성착취물등),57,36,57,103,109,114,137,137,1644
특가법(도주차량),420,494,906,867,1014,1269,1481,1254,304
