구분별(1),구분별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
주이용 SNS 서비스,프로필 기반 서비스 ,19.9,21.7,90.5,94.5,81.7,0,0,0,0,0,0,0,0,0
주이용 SNS 서비스,커뮤니티(카페/클럽등),78.6,77.1,0,23.7,42.7,0,0,0,0,0,0,0,0,0
주이용 SNS 서비스,블로그(네이버 다음 등),86.3,84.4,28,19.3,35.3,14.7,23.8,14.1,20.1,26.2,13,14.7,14.1,23.4
주이용 SNS 서비스,미니홈피,66.8,66.3,28.3,13.9,27.9,0,0,0,0,0,0,0,0,0
주이용 SNS 서비스,마이크로블로그,15,16.1,28.9,18.4,10.6,0,0,0,0,0,0,0,0,0
주이용 SNS 서비스,페이스북,0,0,0,0,0,67.1,58.7,63.6,68.9,59.6,61.3,47.5,58.3,30.9
주이용 SNS 서비스, 카카오스토리,0,0,0,0,0,66.7,53.5,58,37.4,29,30.4,22,33.8,22.2
주이용 SNS 서비스, 인스타그램,0,0,0,0,0,31.6,36.5,42.1,53,52,57.7,52.1,67,63.6
주이용 SNS 서비스, 네이버 밴드,0,0,0,0,0,32.9,30,30.2,33.6,22.8,30.7,32.9,25.9,27.7
주이용 SNS 서비스, 카페(네이버 다음 등),0,0,0,0,0,11.4,16.4,13.3,17.9,19.9,12.4,11.2,12,17.8
주이용 SNS 서비스, 트위터,0,0,0,0,0,5.3,7,10.1,7.2,13.4,8.3,5.8,13.5,3.6
주이용 SNS 서비스,구글플러스,0,0,0,0,0,0.7,1.3,1.4,0,0,0,0,0,0
주이용 SNS 서비스,틱톡(TikTok),0,0,0,0,0,0,0,0,0,0,4.6,5,6.9,11.6
주이용 SNS 서비스,젠리(Zenly),0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.3
주이용 SNS 서비스,기타 서비스,0,0,8.5,0.5,16.2,12.1,11.3,1.7,0,0,0,0,0,0.1
